id,beagle,chihuahua,doberman,french_bulldog,golden_retriever,malamute,pug,saint_bernard,scottish_deerhound,tibetan_mastiff
000621fb3cbb32d8935728e48679680e,0.00019285076996311545,0.0002819712972268462,0.00021794269559904933,0.00023872032761573792,0.0002472748456057161,0.00022855537827126682,0.00022187569993548095,0.00018288039427716285,0.00025053537683561444,0.00031663873232901096
00102ee9d8eb90812350685311fe5890,0.0001568453444633633,0.00019316385441925377,0.0001943927927641198,0.0001790406822692603,0.00020102132111787796,0.00022870494285598397,0.00020795878663193434,0.00014000119699630886,0.0001864009682321921,0.0002609397633932531
0012a730dfa437f5f3613fb75efcd4ce,0.00026790451374836266,0.00024406547890976071,0.0002396929485257715,0.00021338360966183245,0.0009925573831424117,0.00016705854795873165,0.00022154490579850972,0.0001985052222153172,0.0005844233091920614,0.00024304835824295878
001510bc8570bbeee98c8d80c8a95ec1,0.003889629617333412,0.012623435817658901,0.004482744261622429,0.13495561480522156,0.005021565593779087,0.0038796213921159506,0.2015271931886673,0.0034930931869894266,0.004852404352277517,0.0069727045483887196
001a5f3114548acdefa3d4da05474c2e,0.00034280435647815466,0.00029249023646116257,0.0002991063520312309,0.00028120516799390316,0.0005073514184914529,0.00029023506795056164,0.00029414103482849896,0.00022685420117340982,0.00028336068498902023,0.0034437146969139576
00225dcd3e4d2410dd53239f95c0352f,0.0018752195173874497,0.002633786527439952,0.0020783201325684786,0.0022137712221592665,0.004742410033941269,0.0017623063176870346,0.0019160858355462551,0.0014939451357349753,0.005374223459511995,0.0030095025431364775
002c2a3117c2193b4d26400ce431eebd,9.725073323352262e-05,0.00017705161008052528,0.0001434584555681795,8.295805309899151e-05,0.00012279993097763509,7.784229819662869e-05,8.802586671663448e-05,6.085661880206317e-05,0.00011729459220077842,9.543915803078562e-05
002c58d413a521ae8d1a5daeb35fc803,0.0002594288089312613,0.00034268913441337645,0.00032033410388976336,0.0002963572624139488,0.00034628150751814246,0.0003835217503365129,0.0003408297197893262,0.00023059600789565593,0.0003127148956991732,0.0004340357845649123
002f80396f1e3db687c5932d7978b196,0.00013371126260608435,0.00013830243551637977,0.00015852489741519094,0.00011603174061747268,0.0003259626100771129,0.00012283804244361818,0.00012858495756518096,0.00010057273902930319,0.040502551943063736,0.00015509269724134356
0036c6bcec6031be9e62a257b1c3c442,0.0003277822397649288,0.000508196942973882,0.0003598741313908249,0.00043852784438058734,0.0017544677248224616,0.00034076208248734474,0.00037478451849892735,0.00032893320894800127,0.00038884219247847795,0.0018950087251141667
